DepCode;DepLib;ComInsee;ComLib;InsNumeroInstall;InsNom;EquipementId;EquNbEquIdentique;ActCode;Sport / Activité;Niveau pratiqué;NatureLibelle;gps;InsNoVoie;InsLibelleVoie;InsCodePostal;Utilisation;Utilisateurs;typeerp;EquipementTypeCode;EquipementTypeLib;InsArrondissement;Famille type d'équipement
94;Val-de-Marne;94046;Maisons-Alfort;940460016;Stade Cubizolles;287265;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.80565, 2.428828;25 BIS;Avenue du General de Gaulle;94700;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);Établissement de plein air;1105;Mur de tennis;;Mur et fronton
94;Val-de-Marne;94047;Mandres-les-Roses;940470001;Tennis de la Ferme de Monsieur;152973;2;7901;Tennis;Compétition départementale;Découvert;48.70274, 2.54236;;Place des Tours Grises;94520;Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94047;Mandres-les-Roses;940470008;Centre Paris-Mandres;356897;2;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.70821, 2.55395;2;Chemin du 8 Mai 1945;94520;Récréation sportive;Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94053;Noiseau;940530001;Gymnase Leo Lagrange;154171;1;7901;Tennis;Entrainement;Intérieur;48.77633, 2.54554;;Rue Pierre Brossolette;94880;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
94;Val-de-Marne;94054;Orly;940540018;Gymnase Marcel Cachin;154221;1;7901;Tennis;Compétition départementale;Intérieur;48.748235, 2.41298;;Avenue Marcel Cachin;94310;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
94;Val-de-Marne;94055;Ormesson-sur-Marne;940550005;Stade du Belvedere;324513;1;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.79028, 2.54632;28;Rue du Docteur Andre Libert;94490;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);Établissement de plein air;1105;Mur de tennis;;Mur et fronton
94;Val-de-Marne;94058;Perreux-sur-Marne;940580002;Societe Sportive d'Education Physique Alsace-Lorraine-Paris;154253;1;7901;Tennis;Entrainement;Découvert;48.831084, 2.507894;65;Quai d'Artois;94170;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations;;1105;Mur de tennis;;Mur et fronton
94;Val-de-Marne;94068;Saint-Maur-des-Fossés;940680029;Cercle des Sports de la Marne;154414;5;7901;Tennis;Entrainement;Découvert;48.802539, 2.52141;125;Quai Winston Churchill;94100;Récréation sportive,Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement sportif couvert;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94071;Sucy-en-Brie;940710002;Stade Paul Meyer;280097;4;7901;Tennis;Entrainement;Découvrable;48.77431, 2.50471;39;Rue de Paris;94370;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94071;Sucy-en-Brie;940710018;Parc des Sports de Sucy en Brie;357083;2;7901;Tennis;Entrainement;Découvert;48.75824, 2.53654;;Route de la Queue en Brie;94370;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94076;Villejuif;940760001;Forest Hill;158299;7;7901;Tennis;Entrainement;Intérieur;48.79395, 2.34619;116;Rue Edouard Vaillant;94800;Récréation sportive,Performance sportive,Formation sportive;Individuel(s) / Famille(s);"Salle polyvalente à dominante sportive;Établissement sportif couvert";501;Court de tennis;;Court de tennis
94;Val-de-Marne;94077;Villeneuve-le-Roi;940770016;Centre Sportif et de Loisirs Joseph Batut - les Faisans du Parc;158411;2;7901;Tennis;Entrainement;Découvert;48.730298, 2.410714;18;Rue Voltaire;94290;Récréation sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
