COLL_NOM;COLL_SIRET;EQUIP_UID;EQUIP_THEME;EQUIP_CODE;EQUIP_TYPE;EQUIP_NOM;ADR_NUMERO;ADR_NOMVOIE;ADR_CODEPOSTAL;ADR_COMMUNE;ADR_CLE_INTEROP;ERP_ID;ERP_TYPE;ERP_CATEGORIE;EQUIP_LAT;EQUIP_LONG;EQUIP_OUVERTURE;EQUIP_TEL;EQUIP_EMAIL;EQUIP_WEB
Val-de-Marne;21940028000018;94028-05010311-847;Equipement sportif et de loisirs;05010311-847;Pas de tir;pas de tir a l'arc;12;rue pasteur vallery radot;94000;Créteil;;;;;48.783;2.442;;;;
Val-de-Marne;21940002500017;94002-05010310-848;Equipement sportif et de loisirs;05010310-848;Terrain de grands jeux (stade);parc des sports val-de-seine;nan;allée jean-baptiste preux;94140;Alfortville;;;;;48.778;2.425;;;;
Val-de-Marne;21940055300018;94055-05030000-856;Equipement sportif et de loisirs;05030000-856;Autre équipement sportif et de loisirs;centre de loisirs pierre monthezin;34;rue de l'ancien moulin;94490;Ormesson-sur-Marne;;;;;48.778;2.533;;;;
Val-de-Marne;21940028000018;94028-05020101-881;Equipement sportif et de loisirs;05020101-881;Salle des fêtes (polyvalente, ....);maison de quartier des bordieres;nan;place des bouleaux;94000;Créteil;;;;;48.802;2.455;;;;
Val-de-Marne;21940002500017;94002-05010310-920;Equipement sportif et de loisirs;05010310-920;Terrain de grands jeux (stade);stade de la digue;3;allée jean-baptiste preux;94140;Alfortville;;;;;48.781;2.43;;;;
Val-de-Marne;21950491700010;94059-05020101-924;Equipement sportif et de loisirs;05020101-924;Salle des fêtes (polyvalente, ....);espace paul valery;72;avenue ardouin;94420;Le Plessis -Trévise;;;;;48.806;2.577;;;;
Val-de-Marne;21950491700010;94059-05030000-925;Equipement sportif et de loisirs;05030000-925;Autre équipement sportif et de loisirs;ecole municipale de musique cesar franck;31;avenue bertrand;94420;Le Plessis -Trévise;;;;;48.808;2.582;;;;
Val-de-Marne;21940056100011;94056-05020101-934;Equipement sportif et de loisirs;05020101-934;Salle des fêtes (polyvalente, ....);antoinette belly;nan;place de boecourt;94520;Périgny-sur-Yerres;;;;;48.696;2.55;;;;
Val-de-Marne;21940056100011;94056-05010310-937;Equipement sportif et de loisirs;05010310-937;Terrain de grands jeux (stade);stade de perigny;nan;route de brie conte robert;94520;Périgny-sur-Yerres;;;;;48.696;2.563;;;;
Val-de-Marne;21940070200011;94070-05010304-938;Equipement sportif et de loisirs;05010304-938;Court de tennis;tennis;nan;voie aux vaches;94440;Santeny;;;;;48.734;2.576;;;;
