"Year","Major","Champion","Seed_Champion","Ctry_Champion","Runner-up","Seed_Runner-up","Ctry_Runner-up","Score in the Final"
1998,2,"Arantxa Sánchez Vicario",4,"ESP","Monica Seles",6,"USA","7–6(7–5), 0–6, 6–2"
1998,3,"Jana Novotná",3," CZE","Nathalie Tauziat",16,"FRA","6–4, 7–6(7–2)"
1998,4,"Lindsay Davenport",2,"USA","Martina Hingis",1,"SUI","6–3, 7–5"
1999,1,"Martina Hingis",2,"SUI","Amélie Mauresmo",0,"FRA","6–2, 6–3"
1999,2,"Steffi Graf",6,"GER","Martina Hingis",1,"SUI","4–6, 7–5, 6–2"
1999,3,"Lindsay Davenport",3,"USA","Steffi Graf",2,"GER","6–4, 7–5"
1999,4,"Serena Williams",7,"USA","Martina Hingis",1,"SUI","6–3, 7–6(7–4)"
2000,1,"Lindsay Davenport",2,"USA","Martina Hingis",1,"SUI","6–1, 7–5"
2000,2,"Mary Pierce",6,"FRA","Conchita Martínez",5,"ESP","6–2, 7–5"
2000,3,"Venus Williams",4,"USA","Lindsay Davenport",2,"USA","6–3, 7–6(7–3)"
2000,4,"Venus Williams",3,"USA","Lindsay Davenport",2,"USA","6–4, 7–5"
2001,1,"Jennifer Capriati",12,"USA","Martina Hingis",1,"SUI","6–4, 6–3"
2001,2,"Jennifer Capriati",4,"USA","Kim Clijsters",12,"BEL","1–6, 6–4, 12–10"
2001,3,"Venus Williams",2,"USA","Justine Henin",8,"BEL","6–1, 3–6, 6–0"
2001,4,"Venus Williams",4,"USA","Serena Williams",10,"USA","6–2, 6–4"
2002,1,"Jennifer Capriati",1,"USA","Martina Hingis",3,"SUI","4–6, 7–6(9–7), 6–2"
2002,2,"Serena Williams",3,"USA","Venus Williams",2,"USA","7–5, 6–3"
2002,3,"Serena Williams",2,"USA","Venus Williams",1,"USA","7–6(7–4), 6–3"
2002,4,"Serena Williams",1,"USA","Venus Williams",2,"USA","6–4, 6–3"
2003,1,"Serena Williams",1,"USA","Venus Williams",2,"USA","7–6(7–4), 3–6, 6–4"
2003,2,"Justine Henin",4,"BEL","Kim Clijsters",2,"BEL","6–0, 6–4"
2003,3,"Serena Williams",1,"USA","Venus Williams",4,"USA","4–6, 6–4, 6–2"
2003,4,"Justine Henin",2,"BEL","Kim Clijsters",1,"BEL","7–5, 6–1"
2004,1,"Justine Henin",1,"BEL","Kim Clijsters",2,"BEL","6–3, 4–6, 6–3"
2004,2,"Anastasia Myskina",6,"RUS","Elena Dementieva",9,"RUS","6–1, 6–2"
2004,3,"Maria Sharapova",13,"RUS","Serena Williams",1,"USA","6–1, 6–4"
2004,4,"Svetlana Kuznetsova",9,"RUS","Elena Dementieva",6,"RUS","6–3, 7–5"
2005,1,"Serena Williams",7,"USA","Lindsay Davenport",1,"USA","2–6, 6–3, 6–0"
2005,2,"Justine Henin",10,"BEL","Mary Pierce",21,"FRA","6–1, 6–1"
2005,3,"Venus Williams",14,"USA","Lindsay Davenport",1,"USA","4–6, 7–6(7–4), 9–7"
2005,4,"Kim Clijsters",4,"BEL","Mary Pierce",12,"FRA","6–3, 6–1"
2006,1,"Amélie Mauresmo",3,"FRA","Justine Henin",8,"BEL","6–1, 2–0 retired"
2006,2,"Justine Henin",5,"BEL","Svetlana Kuznetsova",8,"RUS","6–4, 6–4"
2006,3,"Amélie Mauresmo",1,"FRA","Justine Henin",3,"BEL","2–6, 6–3, 6–4"
2006,4,"Maria Sharapova",3,"RUS","Justine Henin",2,"BEL","6–4, 6–4"
2007,1,"Serena Williams",0,"USA","Maria Sharapova",1,"RUS","6–1, 6–2"
2007,2,"Justine Henin",1,"BEL","Ana Ivanovic",7,"SRB","6–1, 6–2"
2007,3,"Venus Williams",23,"USA","Marion Bartoli",18,"FRA","6–4, 6–1"
2007,4,"Justine Henin",1,"BEL","Svetlana Kuznetsova",4,"RUS","6–1, 6–3"
